dataset,seed,n_items,base_acc,tuned_acc,delta_pp,delta_ci_lo,delta_ci_hi,n_clusters,mcnemar_b,mcnemar_c,mcnemar_p_raw,mcnemar_p_holm,family
ToMBench,42,842,61.520190023752974,75.17814726840855,13.657957244655577,10.048426150121067,17.233657161494737,646,64,179,8.883400844805911e-14,4.4417004224029556e-13,confirmatory (primary seed x 5 datasets)
ToMBench,43,842,61.520190023752974,75.41567695961994,13.89548693586697,10.302977693602696,17.46575342465752,646,66,183,6.720945859914422e-14,,exploratory (multi-seed replication)
ToMBench,44,842,61.520190023752974,76.00950118764845,14.48931116389548,11.018932514118676,17.933491686460798,646,59,181,1.344448360877739e-15,,exploratory (multi-seed replication)
ToMBench,45,842,61.520190023752974,75.53444180522565,14.01425178147268,10.414201183431949,17.58917589175892,646,66,184,4.552588793906276e-14,,exploratory (multi-seed replication)
ToMBench,46,842,61.520190023752974,77.07838479809976,15.558194774346788,11.981020166073556,19.053520505899268,646,58,189,2.2165271317581574e-17,,exploratory (multi-seed replication)
ToMi,42,1000,76.3,83.0,6.700000000000003,3.4907290448981536,9.852288141643474,457,91,158,2.5961363218429608e-05,0.00010384545287371843,confirmatory (primary seed x 5 datasets)
ToMi,43,1000,76.3,87.7,11.400000000000006,8.358509566968792,14.446910210841905,457,60,174,4.647354989526135e-14,,exploratory (multi-seed replication)
ToMi,44,1000,76.3,83.8,7.5,4.290084627511386,10.736264317446883,457,86,161,2.102848231881478e-06,,exploratory (multi-seed replication)
ToMi,45,1000,76.3,86.6,10.299999999999997,6.995812829146164,13.55763748509822,457,78,181,1.3386947591195115e-10,,exploratory (multi-seed replication)
ToMi,46,1000,76.3,85.7,9.400000000000006,6.182477208618826,12.549049137727378,457,70,164,7.169774133470828e-10,,exploratory (multi-seed replication)
OpenToM,42,1000,63.4,59.5,-3.8999999999999986,-6.262230919765166,-1.5967665864681408,537,93,54,0.0016313112527077717,0.0032626225054155434,confirmatory (primary seed x 5 datasets)
OpenToM,43,1000,63.4,63.9,0.5,-1.095644838393187,2.064947564629652,537,31,36,0.6254068289416483,,exploratory (multi-seed replication)
OpenToM,44,1000,63.4,62.9,-0.5,-2.6418886131131396,1.5717092337917369,537,64,59,0.7185088365549671,,exploratory (multi-seed replication)
OpenToM,45,1000,63.4,64.5,1.1000000000000014,-0.6856191546158245,2.794426674601102,537,33,44,0.2543046661477,,exploratory (multi-seed replication)
OpenToM,46,1000,63.4,63.4,0.0,-1.6932692956985627,1.6277118343820531,537,37,37,1.0,,exploratory (multi-seed replication)
SocialIQa,42,1000,67.7,61.7,-6.0,-8.891108891108892,-3.103103103103095,992,141,81,6.827503379647058e-05,0.00020482510138941174,confirmatory (primary seed x 5 datasets)
SocialIQa,43,1000,67.7,62.3,-5.400000000000006,-8.291915584415596,-2.4900398406374507,992,141,87,0.00042376565435908644,,exploratory (multi-seed replication)
SocialIQa,44,1000,67.7,62.2,-5.5,-8.474576271186436,-2.497502497502502,992,146,91,0.0004284891581367449,,exploratory (multi-seed replication)
SocialIQa,45,1000,67.7,63.1,-4.600000000000001,-7.569721115537838,-1.5984015984016011,992,139,93,0.003049464116351714,,exploratory (multi-seed replication)
SocialIQa,46,1000,67.7,62.8,-4.900000000000006,-7.899999999999999,-1.9920318725099548,992,138,89,0.0013898648592768146,,exploratory (multi-seed replication)
HiToM,42,1000,62.4,62.3,-0.10000000000000142,-3.171535545172812,2.9015881166140263,243,117,116,1.0,1.0,confirmatory (primary seed x 5 datasets)
HiToM,43,1000,62.4,63.800000000000004,1.4000000000000057,-1.8036524402867997,4.655925616817058,243,116,130,0.40724010010692546,,exploratory (multi-seed replication)
HiToM,44,1000,62.4,63.800000000000004,1.4000000000000057,-1.5952143569292119,4.473234347728475,243,112,126,0.399464750911674,,exploratory (multi-seed replication)
HiToM,45,1000,62.4,64.2,1.8000000000000043,-1.4985389610389597,5.034586348690037,243,110,128,0.27044989509957146,,exploratory (multi-seed replication)
HiToM,46,1000,62.4,62.6,0.20000000000000284,-2.7328627419612874,3.1348577048374247,243,108,110,0.9460223749390716,,exploratory (multi-seed replication)
